r_mult,pts,exit_reason,sl_pts,entry_px,exit_px,timestamp,date,session,pred_class,regime,direction,confidence,atr_entry,pnl_usd,win,year,month
-1.0,-6.0,SL,6.0,21430.0,21436.0,2024-08-22 16:20:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9879837036132812,5.25,-120.0,0,2024,2024-08
0.0,0.0,BE,6.0,21432.0,21432.0,2024-08-22 16:21:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9972293972969055,5.160714285714286,0.0,0,2024,2024-08
0.0,0.0,BE,6.0,21429.0,21429.0,2024-08-22 16:24:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9897164702415466,5.053571428571429,0.0,0,2024,2024-08
0.0,0.0,BE,6.0,21424.5,21424.5,2024-08-22 16:26:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9865624308586121,5.178571428571429,0.0,0,2024,2024-08
-1.0,-6.0,SL,6.0,21421.25,21427.25,2024-08-22 16:27:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9931545257568359,5.303571428571429,-120.0,0,2024,2024-08
0.0,0.0,BE,6.0,21424.25,21424.25,2024-08-22 16:28:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9823557734489441,5.535714285714286,0.0,0,2024,2024-08
0.0,0.0,BE,6.0,21428.0,21428.0,2024-08-22 16:29:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.997361958026886,5.464285714285714,0.0,0,2024,2024-08
4.014880952381039,24.089285714286234,TRAIL,6.0,21430.25,21454.339285714286,2024-08-22 16:30:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9979369640350342,5.321428571428571,481.7857142857247,1,2024,2024-08
0.0,0.0,BE,7.485714285714287,21432.75,21432.75,2024-08-22 16:32:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9947595000267029,9.357142857142858,0.0,0,2024,2024-08
0.0,0.0,BE,8.32857142857143,21426.0,21426.0,2024-08-22 16:33:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.995743453502655,10.410714285714286,0.0,0,2024,2024-08
-0.9999999999999173,-11.314285714284779,SL,11.314285714285715,21419.25,21430.564285714285,2024-08-22 16:36:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9942618608474731,14.142857142857142,-226.28571428569558,0,2024,2024-08
-0.999999999999914,-12.071428571427532,SL,12.071428571428571,21432.5,21420.428571428572,2024-08-22 16:37:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.918850302696228,15.089285714285714,-241.42857142855064,0,2024,2024-08
0.0,0.0,BE,12.62857142857143,21431.75,21431.75,2024-08-22 16:38:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.7226691842079163,15.785714285714286,0.0,0,2024,2024-08
0.0,0.0,BE,13.985714285714288,21413.75,21413.75,2024-08-22 16:39:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.997597873210907,17.482142857142858,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21416.75,21416.75,2024-08-22 16:40:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9775964021682739,18.285714285714285,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21426.0,21426.0,2024-08-22 16:41:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9703439474105835,19.071428571428573,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21411.0,21411.0,2024-08-22 16:44:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9950824975967407,21.482142857142858,0.0,0,2024,2024-08
-1.0,-14.0,SL,14.0,21402.75,21416.75,2024-08-22 16:47:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9977813363075256,20.571428571428573,-280.0,0,2024,2024-08
-1.0,-14.0,SL,14.0,21421.0,21407.0,2024-08-22 16:49:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9676368236541748,20.232142857142858,-280.0,0,2024,2024-08
0.0,0.0,BE,14.0,21407.0,21407.0,2024-08-22 16:50:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9985302686691284,19.982142857142858,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21415.25,21415.25,2024-08-22 16:54:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.9941097497940063,20.571428571428573,0.0,0,2024,2024-08
-1.0,-14.0,SL,14.0,21437.0,21423.0,2024-08-22 16:57:00,2024-08-22,NY,2,LONG_BREAK,LONG,0.7704017162322998,20.428571428571427,-280.0,0,2024,2024-08
0.0,0.0,BE,14.0,21431.75,21431.75,2024-08-22 16:58:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9900436401367188,19.535714285714285,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21419.25,21419.25,2024-08-22 16:59:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9973478317260742,19.892857142857142,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21409.0,21409.0,2024-08-22 17:00:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9952115416526794,18.517857142857142,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,21406.75,21406.75,2024-08-22 17:01:00,2024-08-22,NY,3,SHORT_REV,SHORT,0.9913060069084167,18.0,0.0,0,2024,2024-08
-1.0,-6.0,SL,6.0,21269.0,21263.0,2024-08-26 10:34:00,2024-08-26,LON,2,LONG_BREAK,LONG,0.9899640679359436,5.678571428571429,-120.0,0,2024,2024-08
