date,session,direction,entry_ts,entry_px,proba,atr,exit_px,pts,r_mult,reason,mae,mfe,risk,bars_held,pnl_usd
2021-03-10,LON,LONG,2021-03-10 08:00:00,15601.25,0.7878,5.11,15601.25,0.0,0.0,BE,1.75,14.5,8.0,1,0.0
2021-03-10,NY,SHORT,2021-03-10 15:32:00,15684.25,0.7933,13.93,15693.3,-9.05,-1.0,SL_INITIAL,25.25,1.0,9.05,1,-181.0
2021-03-11,LON,SHORT,2021-03-11 08:00:00,15682.0,0.789,3.14,15682.0,0.0,0.0,BE,0.75,7.75,8.0,1,0.0
2021-03-11,NY,LONG,2021-03-11 14:47:00,15838.0,0.7917,8.12,15830.0,-8.0,-1.0,SL_INITIAL,9.0,2.25,8.0,2,-160.0
2021-03-12,LON,LONG,2021-03-12 08:00:00,15858.5,0.7883,5.54,15858.5,0.0,0.0,BE,2.75,6.5,8.0,1,0.0
2021-03-12,NY,LONG,2021-03-12 14:10:00,15700.75,0.7922,7.91,15709.13,8.38,1.048,WIN_SMALL,6.0,20.25,8.0,6,167.60000000000002
2021-03-15,LON,LONG,2021-03-15 08:00:00,15749.75,0.7897,6.27,15749.75,0.0,0.0,BE,3.0,11.0,8.0,5,0.0
2021-03-15,NY,SHORT,2021-03-15 14:00:00,15778.75,0.7917,4.52,15778.75,0.0,0.0,BE,3.75,5.25,8.0,1,0.0
2021-03-16,LON,LONG,2021-03-16 08:00:00,15982.25,0.7876,2.86,15982.25,0.0,0.0,BE,0.5,4.75,8.0,1,0.0
2021-03-16,NY,SHORT,2021-03-16 14:37:00,15983.25,0.7912,6.77,15991.25,-8.0,-1.0,SL_INITIAL,9.0,0.5,8.0,3,-160.0
2021-03-17,LON,SHORT,2021-03-17 08:00:00,15985.75,0.7893,3.48,15985.75,0.0,0.0,BE,1.75,6.25,8.0,11,0.0
2021-03-17,NY,LONG,2021-03-17 14:02:00,15838.5,0.7922,10.75,15838.5,0.0,0.0,BE,3.5,7.25,8.0,1,0.0
2021-03-18,LON,LONG,2021-03-18 08:00:00,16047.5,0.7876,2.88,16047.5,0.0,0.0,BE,4.25,5.0,8.0,5,0.0
2021-03-18,NY,LONG,2021-03-18 15:47:00,15797.0,0.7931,19.71,15797.0,0.0,0.0,BE,6.5,14.75,12.81,1,0.0
2021-03-19,LON,SHORT,2021-03-19 08:00:00,15627.25,0.7893,4.52,15627.25,0.0,0.0,BE,0.75,8.0,8.0,1,0.0
2021-03-19,NY,SHORT,2021-03-19 15:01:00,15623.5,0.792,14.84,15623.5,0.0,0.0,BE,19.5,9.25,9.65,1,0.0
2021-03-22,LON,LONG,2021-03-22 08:00:00,15764.25,0.7878,4.77,15764.25,0.0,0.0,BE,4.75,5.0,8.0,4,0.0
2021-03-22,NY,SHORT,2021-03-22 14:11:00,15783.25,0.7917,4.29,15783.25,0.0,0.0,BE,2.75,5.5,8.0,4,0.0
2021-03-23,LON,LONG,2021-03-23 08:05:00,15858.5,0.7883,3.89,15858.5,0.0,0.0,BE,4.25,6.0,8.0,10,0.0
2021-03-23,NY,SHORT,2021-03-23 14:51:00,15955.75,0.7917,5.66,15955.75,0.0,0.0,BE,1.5,7.25,8.0,1,0.0
2021-03-24,LON,SHORT,2021-03-24 08:00:00,15883.25,0.7897,3.96,15883.25,0.0,0.0,BE,4.5,4.0,8.0,1,0.0
2021-03-24,NY,SHORT,2021-03-24 15:05:00,15924.75,0.7928,4.77,15924.75,0.0,0.0,BE,3.75,5.5,8.0,4,0.0
2021-03-25,LON,SHORT,2021-03-25 08:00:00,15661.0,0.7893,5.2,15661.0,0.0,0.0,BE,0.25,5.5,8.0,1,0.0
2021-03-25,NY,SHORT,2021-03-25 14:00:00,15592.75,0.7917,9.12,15589.94,2.81,0.352,WIN_SMALL,2.0,16.5,8.0,1,56.2
2021-03-26,LON,SHORT,2021-03-26 08:00:00,15720.5,0.7878,3.23,15728.5,-8.0,-1.0,SL_INITIAL,11.0,2.75,8.0,7,-160.0
2021-03-26,NY,LONG,2021-03-26 14:06:00,15558.25,0.7907,8.48,15550.25,-8.0,-1.0,SL_INITIAL,8.25,2.75,8.0,3,-160.0
2021-03-29,LON,LONG,2021-03-29 08:00:00,15727.25,0.7876,4.2,15727.25,0.0,0.0,BE,11.25,5.75,8.0,1,0.0
2021-03-29,NY,SHORT,2021-03-29 14:01:00,15801.0,0.7912,3.14,15809.0,-8.0,-1.0,SL_INITIAL,9.5,2.0,8.0,2,-160.0
2021-03-30,LON,LONG,2021-03-30 08:00:00,15788.5,0.7878,1.82,15780.5,-8.0,-1.0,SL_INITIAL,10.75,0.5,8.0,2,-160.0
2021-03-30,NY,LONG,2021-03-30 16:37:00,15681.75,0.7933,13.14,15681.75,0.0,0.0,BE,0.0,18.75,8.54,1,0.0
2021-03-31,LON,LONG,2021-03-31 08:00:00,15736.5,0.7876,2.48,15728.5,-8.0,-1.0,SL_INITIAL,15.75,0.0,8.0,1,-160.0
2021-04-01,LON,LONG,2021-04-01 08:00:00,15978.0,0.7876,2.38,15978.0,0.0,0.0,BE,4.5,4.25,8.0,7,0.0
2021-04-01,NY,LONG,2021-04-01 14:06:00,16065.5,0.7909,3.39,16065.5,0.0,0.0,BE,3.25,4.25,8.0,5,0.0
2021-04-02,LON,LONG,2021-04-02 08:00:00,16214.75,0.7819,1.09,16206.75,-8.0,-1.0,SL_INITIAL,9.75,0.0,8.0,12,-160.0
2021-04-02,NY,SHORT,2021-04-02 15:31:00,16205.25,0.7933,6.84,16213.25,-8.0,-1.0,SL_INITIAL,29.0,0.0,8.0,1,-160.0
2021-04-05,LON,LONG,2021-04-05 08:03:00,16177.5,0.7898,2.09,16177.5,0.0,0.0,BE,6.5,9.0,8.0,58,0.0
2021-04-05,NY,LONG,2021-04-05 14:00:00,16213.75,0.7922,2.93,16225.36,11.61,1.451,WIN_SMALL,0.5,16.0,8.0,16,232.2
2021-04-06,LON,LONG,2021-04-06 08:00:00,16430.0,0.7878,2.04,16430.0,0.0,0.0,BE,2.25,5.25,8.0,20,0.0
2021-04-06,NY,LONG,2021-04-06 14:00:00,16398.75,0.7922,3.5,16410.5,11.75,1.469,WIN_SMALL,0.0,17.0,8.0,3,235.0
2021-04-07,LON,LONG,2021-04-07 08:27:00,16416.5,0.7893,2.09,16416.5,0.0,0.0,BE,0.0,5.0,8.0,6,0.0
2021-04-07,NY,SHORT,2021-04-07 14:00:00,16426.5,0.7917,2.79,16426.5,0.0,0.0,BE,3.75,9.75,8.0,15,0.0
2021-04-08,LON,LONG,2021-04-08 08:00:00,16556.5,0.7878,1.52,16556.5,0.0,0.0,BE,1.5,4.25,8.0,4,0.0
2021-04-08,NY,SHORT,2021-04-08 15:13:00,16559.0,0.7932,4.57,16567.0,-8.0,-1.0,SL_INITIAL,15.5,3.0,8.0,18,-160.0
2021-04-09,LON,LONG,2021-04-09 08:00:00,16644.75,0.7876,1.52,16636.75,-8.0,-1.0,SL_INITIAL,12.75,3.25,8.0,12,-160.0
2021-04-09,NY,LONG,2021-04-09 15:57:00,16507.75,0.7907,8.32,16511.27,3.52,0.44,WIN_SMALL,7.75,16.0,8.0,7,70.4
2021-04-12,LON,LONG,2021-04-12 08:00:00,16635.5,0.7893,2.38,16627.5,-8.0,-1.0,SL_INITIAL,8.75,3.75,8.0,15,-160.0
2021-04-13,LON,LONG,2021-04-13 08:00:00,16643.25,0.7894,2.27,16635.25,-8.0,-1.0,SL_INITIAL,9.5,1.75,8.0,12,-160.0
2021-04-13,NY,LONG,2021-04-13 14:04:00,16636.75,0.7907,6.11,16636.75,0.0,0.0,BE,10.0,4.75,8.0,1,0.0
2021-04-14,LON,LONG,2021-04-14 08:00:00,16832.0,0.7878,1.41,16832.0,0.0,0.0,BE,4.25,4.0,8.0,13,0.0
2021-04-14,NY,SHORT,2021-04-14 16:15:00,16846.25,0.7932,3.57,16846.25,0.0,0.0,BE,4.0,8.0,8.0,9,0.0
2021-04-15,LON,SHORT,2021-04-15 08:00:00,16665.0,0.7893,1.46,16673.0,-8.0,-1.0,SL_INITIAL,13.25,1.0,8.0,9,-160.0
2021-04-15,NY,LONG,2021-04-15 15:33:00,16787.5,0.7933,5.41,16787.5,0.0,0.0,BE,2.25,6.0,8.0,1,0.0
2021-04-16,LON,LONG,2021-04-16 08:00:00,16839.25,0.7876,1.91,16839.25,0.0,0.0,BE,2.75,5.0,8.0,10,0.0
2021-04-16,NY,LONG,2021-04-16 14:00:00,16854.0,0.7922,2.0,16867.0,13.0,1.625,WIN_SMALL,3.75,16.0,8.0,15,260.0
2021-04-19,LON,LONG,2021-04-19 08:00:00,16895.0,0.7893,1.34,16895.0,0.0,0.0,BE,1.75,5.75,8.0,9,0.0
2021-04-19,NY,SHORT,2021-04-19 14:00:00,16841.25,0.7917,4.21,16849.25,-8.0,-1.0,SL_INITIAL,8.5,3.5,8.0,16,-160.0
2021-04-20,LON,SHORT,2021-04-20 08:00:00,16769.0,0.7878,2.07,16777.0,-8.0,-1.0,SL_INITIAL,8.0,1.5,8.0,8,-160.0
2021-04-20,NY,SHORT,2021-04-20 14:00:00,16702.0,0.7917,5.93,16702.0,0.0,0.0,BE,7.0,4.25,8.0,1,0.0
2021-04-21,LON,SHORT,2021-04-21 08:00:00,16592.25,0.7893,1.75,16592.25,0.0,0.0,BE,5.5,4.0,8.0,1,0.0
2021-04-21,NY,SHORT,2021-04-21 14:51:00,16612.75,0.7922,2.71,16612.75,0.0,0.0,BE,4.75,4.75,8.0,14,0.0
2021-04-22,LON,LONG,2021-04-22 08:00:00,16761.0,0.7878,1.91,16753.0,-8.0,-1.0,SL_INITIAL,11.25,0.5,8.0,13,-160.0
2021-04-22,NY,SHORT,2021-04-22 14:00:00,16752.25,0.7917,3.14,16752.25,0.0,0.0,BE,0.0,8.5,8.0,2,0.0
2021-04-23,LON,SHORT,2021-04-23 08:00:00,16622.75,0.789,1.7,16622.75,0.0,0.0,BE,2.25,6.0,8.0,11,0.0
2021-04-23,NY,SHORT,2021-04-23 14:00:00,16628.0,0.7917,2.86,16628.0,0.0,0.0,BE,1.25,7.5,8.0,5,0.0
2021-04-26,LON,LONG,2021-04-26 08:00:00,16784.0,0.789,0.89,16776.0,-8.0,-1.0,SL_INITIAL,8.0,1.5,8.0,8,-160.0
2021-04-26,NY,SHORT,2021-04-26 14:00:00,16732.75,0.7917,2.98,16732.75,0.0,0.0,BE,2.75,13.25,8.0,6,0.0
2021-04-27,LON,LONG,2021-04-27 08:00:00,16876.5,0.7878,0.88,16894.19,17.69,2.211,TRAIL_2.2R,2.0,19.0,8.0,33,353.8
2021-04-27,NY,SHORT,2021-04-27 14:00:00,16881.75,0.7915,2.79,16881.75,0.0,0.0,BE,6.0,7.75,8.0,58,0.0
2021-04-28,LON,LONG,2021-04-28 08:00:00,16824.5,0.7878,0.82,16824.5,0.0,0.0,BE,1.0,4.25,8.0,19,0.0
2021-04-28,NY,LONG,2021-04-28 16:42:00,16765.0,0.7937,11.84,16797.78,32.78,4.097,TRAIL_4.1R,4.5,42.25,8.0,12,655.6
2021-04-29,NY,SHORT,2021-04-29 14:58:00,16882.25,0.7917,2.41,16882.25,0.0,0.0,BE,2.0,5.75,8.0,3,0.0
2021-04-30,LON,SHORT,2021-04-30 08:00:00,16749.0,0.7893,2.0,16749.0,0.0,0.0,BE,5.5,9.5,8.0,15,0.0
2021-04-30,NY,LONG,2021-04-30 15:38:00,16682.75,0.7937,7.04,16682.75,0.0,0.0,BE,2.5,4.0,8.0,1,0.0
2021-05-03,LON,SHORT,2021-05-03 08:00:00,16721.25,0.7894,1.29,16721.25,0.0,0.0,BE,1.0,13.5,8.0,87,0.0
2021-05-03,NY,SHORT,2021-05-03 14:00:00,16727.75,0.7917,3.46,16735.75,-8.0,-1.0,SL_INITIAL,8.0,0.0,8.0,1,-160.0
